App;Open;date
mydealz;dismissedAppOpening;2023-03-08T14:34:45Z
mydealz;openedApp;2023-03-08T15:30:33Z
mydealz;openedApp;2023-03-08T15:32:50Z
mydealz;dismissedAppOpening;2023-03-08T16:11:41Z
mydealz;dismissedAppOpening;2023-03-09T05:45:26Z
mydealz;openedApp;2023-03-09T06:09:33Z
mydealz;dismissedAppOpening;2023-03-09T06:22:35Z
mydealz;dismissedAppOpening;2023-03-09T06:22:36Z
mydealz;dismissedAppOpening;2023-03-09T21:28:38Z
mydealz;dismissedAppOpening;2023-03-09T22:21:17Z
youtube;openedApp;2023-03-09T23:27:14Z
mydealz;openedApp;2023-03-10T07:16:56Z
mydealz;dismissedAppOpening;2023-03-10T07:47:38Z
youtube;openedApp;2023-03-10T07:48:07Z
mydealz;dismissedAppOpening;2023-03-10T10:02:26Z
mydealz;dismissedAppOpening;2023-03-10T11:51:50Z
mydealz;openedApp;2023-03-10T14:45:34Z
mydealz;dismissedAppOpening;2023-03-10T15:01:48Z
mydealz;dismissedAppOpening;2023-03-10T15:35:57Z
mydealz;dismissedAppOpening;2023-03-10T15:36:09Z
mydealz;dismissedAppOpening;2023-03-10T18:02:56Z
mydealz;openedApp;2023-03-10T23:20:44Z
mydealz;dismissedAppOpening;2023-03-10T23:32:41Z
mydealz;openedApp;2023-03-11T12:05:33Z
mydealz;openedApp;2023-03-12T09:04:52Z
mydealz;dismissedAppOpening;2023-03-12T10:56:52Z
mydealz;dismissedAppOpening;2023-03-12T11:11:37Z
youtube;openedApp;2023-03-12T15:15:32Z
youtube;openedApp;2023-03-12T23:16:34Z
youtube;openedApp;2023-03-13T00:23:41Z
youtube;openedApp;2023-03-13T21:58:11Z
youtube;openedApp;2023-03-14T23:32:23Z
youtube;openedApp;2023-03-15T00:05:00Z
youtube;dismissedAppOpening;2023-03-15T08:34:11Z
youtube;dismissedAppOpening;2023-03-15T17:44:32Z
youtube;openedApp;2023-03-15T17:45:25Z
youtube;dismissedAppOpening;2023-03-15T17:52:48Z
youtube;openedApp;2023-03-15T17:54:14Z
youtube;openedApp;2023-03-15T18:18:36Z
youtube;openedApp;2023-03-15T19:19:10Z
youtube;dismissedAppOpening;2023-03-15T21:22:44Z
youtube;dismissedAppOpening;2023-03-15T21:22:46Z
youtube;openedApp;2023-03-15T23:21:29Z
mydealz;dismissedAppOpening;2023-03-16T14:53:50Z
mydealz;dismissedAppOpening;2023-03-16T17:14:10Z
youtube;openedApp;2023-03-16T17:14:23Z
youtube;openedApp;2023-03-16T21:38:14Z
mydealz;openedApp;2023-03-17T11:53:48Z
mydealz;dismissedAppOpening;2023-03-17T12:07:19Z
youtube;openedApp;2023-03-17T22:00:30Z
mydealz;dismissedAppOpening;2023-03-18T08:59:25Z
mydealz;dismissedAppOpening;2023-03-18T08:59:27Z
mydealz;dismissedAppOpening;2023-03-18T08:59:27Z
mydealz;openedApp;2023-03-18T09:01:41Z
youtube;openedApp;2023-03-18T18:23:41Z
youtube;openedApp;2023-03-18T19:15:53Z
youtube;dismissedAppOpening;2023-03-18T19:59:28Z
youtube;openedApp;2023-03-19T10:58:59Z
youtube;dismissedAppOpening;2023-03-19T11:46:42Z
youtube;openedApp;2023-03-19T15:18:22Z
youtube;openedApp;2023-03-20T16:11:39Z
mydealz;openedApp;2023-03-20T23:00:58Z
mydealz;openedApp;2023-03-20T23:17:42Z
