ID;date;device;type;os;category;superCategory;time_spent;frequency
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;website;ios;News;Entertainment;1200;1
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;website;ios;Web Browser / Search Machine ;Other;480;1
hwyr5z1l;2023-04-30 00:00:00+00:00;tablet;app;ios;Study / Learning;Study / Work ICT;8520;1
hwyr5z1l;2023-04-30 00:00:00+00:00;tablet;app;ios;Video;Entertainment;5820;3
hwyr5z1l;2023-04-30 00:00:00+00:00;tablet;app;ios;Video;Entertainment;4260;1
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;1560;33
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;1440;49
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Mobility;Other;540;28
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Mobility;Other;480;3
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;420;13
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Social Media;Social Media;300;8
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;240;10
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Finance;Other;180;7
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;120;4
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;System;Other;120;2
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;System;Other;60;3
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;60;3
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;60;1
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;System;Other;60;1
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;app;ios;Research;Study / Work ICT;60;1
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;website;ios;Sport;Other;420;1
hwyr5z1l;2023-05-01 00:00:00+00:00;phone;website;ios;Food;Other;300;1
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Video;Entertainment;9060;8
hwyr5z1l;2023-05-02 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;2280;18
