ID,date,device,type,os,name,category,superCategory,time_spent,frequency
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,onesec,Health / Wellbeing,Other,60,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,website,ios,ups.com,Delivery,Other,420,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,website,ios,uneffected.com,Shopping ,Entertainment,360,1
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,4020,
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,2400,13
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,960,24
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,900,24
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,360,14
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,WhatsApp,Messenger,Communication ICT,300,10
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Wikipedia,Research,Study / Work ICT,300,1
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Snapchat,Social Media,Social Media,240,1
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Jlaw,Study / Learning,Study / Work ICT,180,1
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,180,9
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Erinnerungen,System,Other,120,1
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Bereal,Social Media,Social Media,120,3
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Twitter,Social Media,Social Media,120,1
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Formula1,Sport,Other,120,3
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,60,4
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Fotos,Photos,Entertainment,60,4
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,Fitness,Sport,Other,60,1
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,app,ios,pon,Food,Other,240,12
hwyr5z1l,2023-04-29 00:00:00+00:00,phone,website,ios,tagesschau.de,News,Entertainment,420,1
hwyr5z1l,2023-04-29 00:00:00+00:00,tablet,app,ios,F1TV,Video,Entertainment,2820,1
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,5940,4
hwyr5z1l,2023-04-30 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,4200,21
